"Q";"Ks";"Zv";"Zm";"S"
7.5877212559444138e+02;3.0720996622368204e+01;5.0649233865451286e+01;5.5489004843906841e+01;-6.0577820038485939e+00
1.7113079217059017e+03;2.4353875506544355e+01;5.0424301634129847e+01;5.4571875055425721e+01;-4.5589922955473625e+00
2.4408852567757776e+03;3.1934448184359855e+01;4.9297404549319097e+01;5.5715504985798965e+01;-5.9579364237959282e+00
1.4552583587487175e+03;4.4765697020799067e+01;5.0648114376933002e+01;5.5049371776592174e+01;-5.6764708730501994e+00
1.3917676891640153e+03;2.4965321001889006e+01;5.0119721577083752e+01;5.5911702382383545e+01;-5.6113745965063160e+00
1.5916307845740157e+03;4.3918441803322949e+01;5.0306812566674736e+01;5.4492693495899331e+01;-5.8359711541570221e+00
4.9437580482725991e+02;3.0391194942017414e+01;4.9039893010052182e+01;5.4452322721177950e+01;-8.1105655446023022e+00
8.3448885860549422e+02;3.5928343684798399e+01;5.0445113816383646e+01;5.5912921248987473e+01;-6.3889272453860642e+00
1.3941519864265647e+03;2.7348356661835798e+01;4.9588548115675771e+01;5.4628957448745069e+01;-6.1755164863908405e+00
1.2018961883163793e+03;3.9103601642928183e+01;5.0660582563863606e+01;5.5451537004600915e+01;-5.7888136500294820e+00
1.1216817872015515e+03;2.4172251658035712e+01;5.0377580555835458e+01;5.4018601268699079e+01;-5.2715138226637492e+00
6.1595798288230822e+02;1.9736014131299104e+01;4.9121091929837668e+01;5.5115085036068855e+01;-7.4439196911005681e+00
2.4551145568046886e+03;3.0776058182666837e+01;5.0604830219197417e+01;5.5844533400729858e+01;-4.3573027760001679e+00
5.5123748721966581e+02;2.3311353443925448e+01;4.9702390001182863e+01;5.4691498170678614e+01;-7.0667014392206724e+00
9.4898594261917924e+02;3.6792012606482743e+01;5.0581237836739867e+01;5.5530161174611038e+01;-6.0907933968523125e+00
1.0624552429704531e+03;3.2510958404853824e+01;4.9986650499783138e+01;5.5232285283934715e+01;-6.4429824071731190e+00
7.1035965869156871e+02;3.6109205154068178e+01;5.0216178548959888e+01;5.4562751021899842e+01;-6.6683831050849420e+00
1.0294103751074610e+03;2.4489687165295891e+01;4.9962571971582292e+01;5.4461316581628360e+01;-6.0159567309031132e+00
4.9346648435406019e+02;2.9164043933014835e+01;5.0605191231023397e+01;5.5655227624721249e+01;-6.4839749986867048e+00
1.3251907443748887e+03;3.7458614086558683e+01;5.0250571278869764e+01;5.4780255089076618e+01;-5.9804318578426958e+00
8.1124382308136205e+02;2.8795310076644299e+01;5.0470972730949072e+01;5.4499607828958624e+01;-5.9789574361147686e+00
1.5260996368447318e+03;2.2959220692466623e+01;5.0205083924154977e+01;5.4474052075959847e+01;-4.9228442095181819e+00
1.4990831651432861e+03;1.5234813431668371e+01;4.9969845957099359e+01;5.5515569625039490e+01;-4.5853636407867739e+00
1.1275185891431206e+03;2.5067973980408439e+01;4.9291479966472217e+01;5.4258028973210592e+01;-6.6593164741321971e+00
2.4324249744265489e+03;9.6041989810205521e+00;5.0602220534245660e+01;5.5533388655802000e+01;-6.9201124880339648e-01
1.2569552903647268e+03;3.1727793292793681e+01;4.9291994791300098e+01;5.4398985963522442e+01;-6.8654130028913087e+00
3.3632916442415994e+03;6.7696933480073547e+00;5.0560746440635199e+01;5.4716343463771558e+01;3.4251210091259523e+00
3.5140691184579305e+03;3.0099224977315068e+01;5.0210698173397638e+01;5.5421391694416620e+01;-3.8357902940498079e+00
9.2534336422653757e+02;2.0569278201944897e+01;4.9768295583990046e+01;5.5976219780917503e+01;-6.3472740466991127e+00
8.0039682819469840e+02;3.7708203618099652e+01;4.9924292935590245e+01;5.5649340948299098e+01;-7.0190024320908435e+00
1.1303864362356230e+03;2.4251769939700679e+01;4.9252348924674372e+01;5.4552356339983049e+01;-6.6936245460405388e+00
7.1902096960952940e+02;3.1631340843021064e+01;4.9282414121223731e+01;5.5524657917418985e+01;-7.6371007884735107e+00
9.7770224587696237e+02;2.8750422167484530e+01;5.0745594757663888e+01;5.4158265506240298e+01;-5.3421272014439793e+00
1.6655869394662795e+03;3.3908010030452722e+01;4.9640824888925529e+01;5.4121381715675248e+01;-6.0872745028292528e+00
1.5019083201814774e+03;4.4880775750199099e+01;5.0992754704887872e+01;5.4095134238760835e+01;-5.0488053070388190e+00
1.6540727185742412e+03;3.7863759013764962e+01;4.9623615163965731e+01;5.4790144447706062e+01;-6.4009180557460539e+00
1.6102937244442664e+03;3.7467473755775501e+01;4.9441303269641928e+01;5.5742798605921614e+01;-6.7491030852508231e+00
5.6487391563006167e+02;1.5351960208231922e+01;4.9699702585748440e+01;5.4015518690384582e+01;-6.4432301306710613e+00
2.6110463380906413e+02;3.3571635901584997e+01;5.0898570902975443e+01;5.5926642504049937e+01;-6.7152876350829516e+00
4.2178230188200769e+02;2.6722190776978053e+01;4.9095460804498501e+01;5.4300837556001220e+01;-8.0635898473313503e+00
1.7569995961897664e+03;2.6530445039541082e+01;5.0276063839838734e+01;5.4822862039238792e+01;-4.9223485920920353e+00
1.2500494371764569e+03;3.3073701076158045e+01;5.0732083328479192e+01;5.4308288846059078e+01;-5.2336159745975195e+00
9.6677611781191035e+02;2.1364276064159242e+01;4.9964468414982122e+01;5.4897072078235112e+01;-5.9717677231863746e+00
1.9145805377165921e+03;2.6142070876121586e+01;4.9138626214498920e+01;5.4399058576194093e+01;-6.0043686357439654e+00
1.0751420759710666e+03;3.4854220333920196e+01;4.9985723157918855e+01;5.5055253658295399e+01;-6.4937984137318807e+00
1.8534508876525649e+02;3.0027768648623869e+01;4.9176230325610632e+01;5.4986613721331800e+01;-8.5851317122480779e+00
1.2233990839288806e+03;3.5472658323759084e+01;5.0060886747701517e+01;5.4582564785774565e+01;-6.2033129685942470e+00
9.0035556167987124e+02;2.8145746707036295e+01;5.0817431144769088e+01;5.4720598370928400e+01;-5.4490281745437130e+00
1.4004567402500315e+03;2.9249396606678047e+01;5.0781319496137634e+01;5.4002868548492245e+01;-4.7050465798656873e+00
1.3097416665536314e+03;4.1186732273709694e+01;5.0073204400985070e+01;5.4626466662926568e+01;-6.3017001902154561e+00
1.3035001539460031e+03;3.9172540794986858e+01;4.9587072187793048e+01;5.4039960309706338e+01;-6.7145449968652855e+00
1.3884088231373360e+03;3.3949847483712283e+01;5.0728156077703588e+01;5.4103006517873936e+01;-5.0681992640241020e+00
2.2912178118109346e+03;2.5073074335133157e+01;5.0255704363764515e+01;5.4400020352150214e+01;-4.1261882891385326e+00
7.7855707554705293e+02;2.9015788289711583e+01;4.9393986781883704e+01;5.4057385118905927e+01;-7.2005474821886750e+00
1.2743310620429654e+03;1.9098968923178941e+01;4.9414997277425506e+01;5.5124051207794437e+01;-5.9874948909453138e+00
8.1857189863366295e+02;3.8806086158444714e+01;5.0993483964067707e+01;5.5340326850340325e+01;-5.8220577592017833e+00
1.3167278270756951e+03;2.6455126231015527e+01;5.0362480979994572e+01;5.4590926060652187e+01;-5.2946572347424166e+00
1.3749672683534382e+03;3.8341352261551194e+01;4.9015033718030885e+01;5.4898150400428875e+01;-7.3699633676671326e+00
1.4081139185077111e+03;3.4165903122533727e+01;4.9399586102296453e+01;5.5844969454558175e+01;-6.8633903571024533e+00
1.1599149799724023e+03;3.1272590235150375e+01;5.0711651243708232e+01;5.5206926552938803e+01;-5.4487103507227133e+00
1.0127262204999489e+03;3.3314875710397878e+01;4.9989099471026258e+01;5.5951801946188233e+01;-6.6032552555278414e+00
2.2342659297757918e+03;3.3893715099635465e+01;4.9307368382252349e+01;5.4010213161009084e+01;-5.9333681549108519e+00
2.3512000746685526e+03;1.8640866669339925e+01;4.9559017445493673e+01;5.4235706008535843e+01;-4.1222723852304810e+00
5.9734531266539409e+02;2.4923119522172211e+01;4.9002209573494881e+01;5.5297959582237809e+01;-7.8704521408335069e+00
8.0292882037020979e+02;3.6437014279805233e+01;4.9109794457957058e+01;5.5617106119580221e+01;-7.8581365437261397e+00
7.9102799887647734e+02;2.3200755642137697e+01;5.0818902143265831e+01;5.4601215635735912e+01;-5.3384617786452537e+00
1.0150266064667218e+03;2.3123926012146374e+01;4.9929536378897133e+01;5.4546480642151380e+01;-6.0026625710767547e+00
5.1512218613836490e+02;3.8724155586518314e+01;5.0280719543239591e+01;5.5800482631302323e+01;-7.0302332517523141e+00
1.3798764808281171e+03;3.2264387344485655e+01;4.9295758543687512e+01;5.4051545666234702e+01;-6.6985845707370544e+00
7.9242710627118947e+02;3.3677484514876205e+01;4.9290062505328279e+01;5.4856759657559465e+01;-7.5399593915565575e+00
9.0307169046764216e+02;3.3565684310353056e+01;4.9170952871447831e+01;5.5334999981779148e+01;-7.5737344197500747e+00
9.4849545270814360e+02;2.4084718077400229e+01;5.0927281909051217e+01;5.4592830946710983e+01;-4.9943035011065291e+00
2.9490297521557086e+03;3.5798410799179443e+01;4.9983100806244941e+01;5.4306403440218503e+01;-4.6960244466556276e+00
1.6759695016288877e+03;2.6103931501294806e+01;5.0828358833624840e+01;5.4083307147232887e+01;-4.0891004614313573e+00
2.0768128430695078e+03;2.9736019928950416e+01;5.0221166341091859e+01;5.5171844993194092e+01;-4.9561611340803324e+00
2.2647633271897166e+03;2.6701008129047640e+01;5.0947493744520791e+01;5.4671418093664244e+01;-3.4860594780710699e+00
3.9605209841531996e+02;2.8055008567882478e+01;5.0235897187630592e+01;5.4094719747390840e+01;-6.8921886050479486e+00
5.5419120544692805e+02;2.3434357764272402e+01;4.9014538167734266e+01;5.5986259643819317e+01;-7.9197919977890479e+00
5.3611377023207012e+02;1.0951030379643356e+01;4.9681668618895777e+01;5.4050764725598782e+01;-6.0310426675243178e+00
2.5868468949764092e+03;2.9574967989448854e+01;5.0980252890619376e+01;5.5453201227901495e+01;-3.5991885136369604e+00
9.4370571540054766e+02;2.9742537776712350e+01;5.0535420743798923e+01;5.5818588469820206e+01;-5.9349109649329321e+00
1.8867404146336635e+03;3.3458113826728216e+01;5.0139316964223745e+01;5.4102246917553600e+01;-5.2364764148492284e+00
1.3824539411871995e+03;2.5331817219914861e+01;5.0257990415399917e+01;5.5443432582920444e+01;-5.4160034185672004e+00
2.0245471180615395e+03;1.7812082385505086e+01;5.0423324004208737e+01;5.5755691042164869e+01;-3.7244628736395597e+00
1.0186153136982439e+03;2.5926755948543828e+01;5.0944677051261905e+01;5.5669894695735906e+01;-5.1694411932869997e+00
1.8536031730225295e+03;2.7978488378419165e+01;4.9766760678591559e+01;5.5098622477174651e+01;-5.5849829296849478e+00
1.7323971320414003e+03;3.0156613494725274e+01;5.0433052019621222e+01;5.5593747259205387e+01;-5.1484142541576432e+00
5.0984749586844276e+02;3.4678902913928077e+01;5.0766773062415908e+01;5.4370005227448637e+01;-6.2982809996290356e+00
5.4624328520688687e+02;1.3004374039050852e+01;5.0447196854998147e+01;5.4334966833071526e+01;-5.4195896308390701e+00
2.3141192719935852e+03;3.3174242938163196e+01;4.9301878928417864e+01;5.4103839635967105e+01;-5.8473597095102505e+00
8.3019619656197960e+02;2.2528940641986395e+01;4.9978532041760126e+01;5.4545005496293022e+01;-6.2018954734508895e+00
7.7295181332840639e+02;2.1843702324571094e+01;4.9776079011476391e+01;5.5832166327947405e+01;-6.6439546214548812e+00
9.9254757787630240e+02;3.0833099964660306e+01;5.0030335201598866e+01;5.4062971167855380e+01;-6.2495162768616410e+00
5.6013081292842003e+02;3.5082473142412098e+01;4.9737923731453137e+01;5.4938307215685718e+01;-7.4114748706099434e+00
2.0546922533630704e+03;2.2087366072658103e+01;4.9666016362928389e+01;5.5566933476153295e+01;-5.0902571958966902e+00
1.2482207939866018e+03;2.9969275562461753e+01;5.0399708435254446e+01;5.4008893863249980e+01;-5.4213416708893050e+00
7.0445740376956599e+02;3.5846789311118322e+01;4.9512528883304590e+01;5.5563730884583393e+01;-7.5256021796087680e+00
2.7985093541716556e+03;3.8538564272713458e+01;4.9766641049465314e+01;5.5331322255685905e+01;-5.4493457006469868e+00
9.3906974062410222e+02;3.5333607128815459e+01;5.0973112860616574e+01;5.4446558377158091e+01;-5.4572413530417521e+00
1.2321992369285226e+03;2.6599606694525257e+01;5.0719351149383883e+01;5.5494422374318802e+01;-5.1551748344000927e+00
2.4302439514904893e+02;3.4637395232230688e+01;4.9636616379291489e+01;5.4005836114026678e+01;-7.9945034821791197e+00
1.3552227742694713e+03;3.5415326499780498e+01;4.9443259784380821e+01;5.4825391916088989e+01;-6.7982219533572916e+00
2.4763502451146787e+03;3.4950155623857846e+01;5.0327421545457732e+01;5.4031602497389898e+01;-4.5163917617425611e+00
9.8621687004079411e+02;3.3494391051228568e+01;5.0067014719082160e+01;5.5718534253513866e+01;-6.5311675897033510e+00
6.5153010653155388e+02;3.8045187876140865e+01;4.9396664404635409e+01;5.4590943482834120e+01;-7.6942365587089014e+00
9.8453374340231551e+02;2.6433090440205007e+01;4.9263228522372941e+01;5.5289451275521479e+01;-7.0886724803749033e+00
6.9042860059073791e+02;3.0729924041316636e+01;5.0512799521130020e+01;5.4983826892413660e+01;-6.2524763394735174e+00
8.9544166659187124e+02;3.4589111082147376e+01;4.9740036089520359e+01;5.4662108984789235e+01;-6.9249786721660058e+00
1.9264130474705116e+03;3.3714128663081418e+01;5.0879148496418054e+01;5.5234209226443987e+01;-4.5597166195321535e+00
1.1309626513832361e+03;1.8105613921518128e+01;4.9678831169741670e+01;5.4345791019659053e+01;-5.6582428122204504e+00
1.2434304943018039e+03;2.4281195443595390e+01;4.9573775716030262e+01;5.4150091035371602e+01;-6.1021615769670987e+00
8.1236922848334711e+02;5.0573361576161872e+01;4.9482178139642230e+01;5.5023890585502059e+01;-7.6879063900443185e+00
7.7593623894459358e+02;3.5127343489473311e+01;5.0472199755756670e+01;5.5044084601426370e+01;-6.3221181109381916e+00
1.0557318747829947e+03;3.4432825773830132e+01;4.9111204004869222e+01;5.4518683910476909e+01;-7.4142449947418569e+00
2.9475597926685896e+02;1.3434618296126771e+01;4.9460362828503193e+01;5.5409596605394491e+01;-7.4699167326012699e+00
2.4251079433106577e+02;2.4157263900159005e+01;5.0864023509107334e+01;5.4160835159519557e+01;-6.4637811095082256e+00
1.6767054230225208e+03;2.4726855647532517e+01;5.0393142529805928e+01;5.4146257808645558e+01;-4.5597577134141929e+00
7.5779233934761146e+02;2.9574783394460283e+01;5.0579309291372347e+01;5.5031323493871881e+01;-6.0412506943839119e+00
1.0277722487163890e+03;3.4410756463148971e+01;5.0975046699924079e+01;5.5506642106515685e+01;-5.4753750190724020e+00
1.7737729227891523e+03;3.5541295992328529e+01;4.9311414872936929e+01;5.4534500418631474e+01;-6.5159543619495253e+00
2.7657124497194654e+03;4.1838434569050456e+01;4.9206385326910770e+01;5.4819052498259161e+01;-6.1975756892536893e+00
1.6929261566262026e+03;4.4175410231034093e+01;5.0374210484527730e+01;5.5063600579749561e+01;-5.7698844049329594e+00
9.9495270261639382e+02;3.2927224429133176e+01;5.0371960396865603e+01;5.4122149692599336e+01;-5.9435464951550827e+00
5.4322089964477243e+02;3.1768195523283918e+01;4.9149039470287981e+01;5.4752328618957065e+01;-7.9747791026919970e+00
1.0028902756934318e+03;3.1837106799968602e+01;5.0516479642011689e+01;5.5020898866635171e+01;-5.8636050884202788e+00
4.4083610494465427e+02;3.4287677361020805e+01;4.9850559246059959e+01;5.5391409086772065e+01;-7.4857735680817257e+00
1.7061104983354303e+03;2.6845933883896308e+01;4.9272581644775400e+01;5.4269279919931904e+01;-6.0963648129572832e+00
2.6699123087895236e+02;3.4149408856639603e+01;4.9633256253347596e+01;5.4502397355021941e+01;-7.9692099212473266e+00
1.2839595199174214e+03;3.1936610101931212e+01;4.9385853673988024e+01;5.5660616341899456e+01;-6.8923892779889115e+00
9.0655435227111934e+02;1.8819169646823504e+01;4.9714653244369551e+01;5.5786835548836422e+01;-6.2844783389520416e+00
2.0236934960750639e+03;3.7963635937762106e+01;5.0871765207357058e+01;5.5251531681224513e+01;-4.6970100116769515e+00
1.2731729863422420e+03;3.2812265306613476e+01;5.0918907414014001e+01;5.5889871213383444e+01;-5.2487261186198779e+00
1.0861723649074634e+03;2.8758995328683817e+01;5.0410951719062588e+01;5.5123071720710584e+01;-5.7570492311088373e+00
2.2530799910072183e+03;3.2684030430609582e+01;4.9283826953479014e+01;5.5401816078194990e+01;-6.1223160141568229e+00
1.0304003766945173e+03;3.6638385622319674e+01;4.9881443577574082e+01;5.5597138162929546e+01;-6.7746479840872880e+00
8.8853936190051104e+02;4.3034237803097319e+01;4.9634983542969948e+01;5.4997946776094849e+01;-7.3036158771266599e+00
9.1897087583937048e+02;2.2646323471111366e+01;5.0605086283910026e+01;5.4725011034196712e+01;-5.3601709734798320e+00
1.4688051371083034e+03;3.4231470306784047e+01;5.0789155123120956e+01;5.5040477485405390e+01;-5.1143694605956398e+00
1.1618052793180784e+03;1.8325026631253770e+01;5.0370625812916103e+01;5.5170025047014519e+01;-4.9647989616108319e+00
2.6093925269491119e+03;3.4686662602653776e+01;5.0774159448214959e+01;5.4420317129025293e+01;-3.9178684880802308e+00
1.6683471058186019e+03;3.7934805490657574e+01;5.0851155313814573e+01;5.5495791214968904e+01;-5.0826956450374396e+00
1.3840658862631908e+03;2.4228534835087245e+01;5.0757029167232837e+01;5.5589935836483811e+01;-4.7764083946551068e+00
9.3050371541150378e+02;4.1567746552529350e+01;5.0007598839013397e+01;5.5004929336538105e+01;-6.8183304243278826e+00
1.0039665460644900e+03;3.2811013643355103e+01;5.0464799420322670e+01;5.4177890052691922e+01;-5.8276160600629225e+00
1.3356768691312441e+03;3.5062824412623371e+01;5.0329299125617212e+01;5.4419552718861745e+01;-5.7249856729352970e+00
7.7418892038896979e+02;2.7125936358513691e+01;4.9731538702938394e+01;5.5948336183457876e+01;-6.9545102591517107e+00
9.8876712649876049e+02;2.7335704351944532e+01;5.0901264746100502e+01;5.5624759950760648e+01;-5.3280473052627428e+00
9.4868009988207189e+02;2.0210280820312857e+01;5.0895376963172232e+01;5.4833720702271478e+01;-4.8007869024434768e+00
1.0307423558805133e+03;1.8631748057980076e+01;5.0474531647890615e+01;5.5192993870525292e+01;-5.0944670213318162e+00
1.4846435691115803e+03;3.1291185039872342e+01;5.0691897436809370e+01;5.4937871074788227e+01;-5.0491440192330330e+00
3.0050647322111327e+03;3.4332601222031528e+01;5.0398263207541262e+01;5.5067126724700273e+01;-4.2296670742206430e+00
5.3788560280918239e+02;2.8702129378180874e+01;4.9808970300424107e+01;5.4341094888999187e+01;-7.1415240009890582e+00
1.0081949227534509e+03;4.1841798080355048e+01;5.0793898336390527e+01;5.4824164972796424e+01;-5.8398138739331387e+00
1.0914826458932964e+03;2.8332047890125843e+01;5.0633454862537327e+01;5.5131174439772487e+01;-5.4734285515118017e+00
1.7942148867718349e+03;3.1541275599512804e+01;4.9822952966027842e+01;5.5376683623132010e+01;-5.8388670957358144e+00
8.0866672595223667e+02;4.0038816297041095e+01;5.0729531115787772e+01;5.5368756571485548e+01;-6.1610925480199228e+00
2.4514532575044968e+03;3.0339397387916225e+01;4.9129330606903153e+01;5.4885587839790261e+01;-5.9046882916606407e+00
1.5091882516165306e+03;4.6173710978942665e+01;4.9389396770988618e+01;5.5930677608207986e+01;-7.1727155956786675e+00
9.5959422252145623e+02;3.7573869905314659e+01;5.0090247513810723e+01;5.4241861294063796e+01;-6.4942876515467560e+00
1.6746420683117535e+03;3.8917356706200579e+01;5.0507023249496527e+01;5.5718311079747792e+01;-5.5461572823516860e+00
1.7943629218746451e+03;2.4045983322745979e+01;4.9347160420773534e+01;5.4016099175539779e+01;-5.6342108662257573e+00
3.2544324883494523e+03;3.6064890595370223e+01;4.9623661748013049e+01;5.4568849235186285e+01;-5.0002129438281600e+00
1.5082997027793431e+03;3.4139235235139736e+01;4.9144505804573306e+01;5.4261923943336242e+01;-6.8560508814428474e+00
3.5025314532364382e+02;3.9466042964677968e+01;5.0489555952901966e+01;5.4317540705203449e+01;-6.9695122752429697e+00
5.6229967920088643e+02;2.7009519964804046e+01;5.0442460057441835e+01;5.4560418188335063e+01;-6.3589668011423441e+00
7.7812412763595887e+02;1.3987122153205195e+01;4.9687720549150313e+01;5.5853942021334561e+01;-6.0983108349513699e+00
7.4037528147393709e+02;3.3155038069553306e+01;5.0784371944827470e+01;5.5924390542890038e+01;-6.0580641950089955e+00
8.9185983248158811e+02;2.8762827840888626e+01;4.9603271322098259e+01;5.5642142339907778e+01;-6.9735902940152457e+00
6.5468634437410321e+02;2.7106423365449892e+01;5.0810476777174003e+01;5.4710061025989781e+01;-5.8020126397028804e+00
6.3837234998410895e+02;2.4780760430663783e+01;5.0937689241771828e+01;5.4117634799880086e+01;-5.4765331232682470e+00
1.3059381737574806e+03;2.8198717108735341e+01;4.9095578302590077e+01;5.5842557101052535e+01;-7.0379495106402103e+00
2.6035697726601290e+02;3.0105254601663116e+01;4.9189840430781004e+01;5.4396320849126958e+01;-8.3755910958867403e+00
2.0185441517761176e+03;2.0041291776150572e+01;4.9533805089632509e+01;5.4100518935201400e+01;-4.7258163099700070e+00
1.5028524966365246e+03;2.6836461949905470e+01;4.9601835966200440e+01;5.4019080752764722e+01;-5.8866321375905102e+00
1.1880245490014947e+03;2.0140726417534523e+01;4.9754024082209462e+01;5.4362015682404405e+01;-5.6782615835831649e+00
2.0117697976201825e+03;2.7643184678338812e+01;4.9619969452510261e+01;5.5382820819466509e+01;-5.6260035777325896e+00
9.2164863704591994e+02;3.5184663314274772e+01;5.0851647781187033e+01;5.5173481089437217e+01;-5.7268316568803996e+00
1.8424176381884076e+03;3.0118061536812938e+01;4.9302225830690446e+01;5.5364838048809546e+01;-6.3100417325208369e+00
2.1504960871151497e+03;3.6733907687131051e+01;5.0413904735842316e+01;5.5840201039973621e+01;-5.1783918066534795e+00
1.3373423495329109e+03;2.9798312599404397e+01;4.9766472331050295e+01;5.4593098555973462e+01;-6.1657601350396973e+00
8.0534685336377208e+02;2.1206040695127037e+01;4.9861977675800127e+01;5.4092140935464286e+01;-6.2213090073620805e+00
1.2693603333763749e+03;2.0825795244881306e+01;5.0318585478673803e+01;5.4097559407164688e+01;-4.8609711577211954e+00
1.8818145812718035e+03;4.0029662647899393e+01;4.9681719633629719e+01;5.5259224848143901e+01;-6.2901283019577932e+00
4.9672532215975684e+02;2.6909344072042597e+01;4.9488787085409470e+01;5.5692911747229232e+01;-7.6137444807664494e+00
2.4789466505329083e+03;3.5821466422570460e+01;4.9333967347628949e+01;5.4072983877558613e+01;-5.8180278420655824e+00
1.2919560821885580e+03;2.9457444244805888e+01;5.0071863024212767e+01;5.5468849193492652e+01;-5.9790485333555310e+00
1.8172249201735701e+03;1.9040319526811288e+01;5.0877718857333186e+01;5.5471425350277904e+01;-3.5239226313605840e+00
1.3617784535092860e+03;3.6341157804985940e+01;4.9159474229710781e+01;5.5023656949972839e+01;-7.1669207944726594e+00
1.3193138701083774e+02;3.2908462708308939e+01;5.0960494174455576e+01;5.4373439828801764e+01;-6.8706942878658737e+00
1.1582630275207439e+03;2.7720654399230320e+01;4.9480839802604265e+01;5.4785079604414584e+01;-6.6278631227080638e+00
1.0376952022453404e+03;3.2704436190715420e+01;4.9302762281859110e+01;5.5149877419714556e+01;-7.2283831387522284e+00
8.8501543799199908e+02;2.7900316444904647e+01;5.0162744426807933e+01;5.5638378140617839e+01;-6.3295826479839619e+00
2.3341054930344771e+03;4.0402035105277662e+01;5.0674307057096513e+01;5.5534246545363629e+01;-4.8440246069428810e+00
1.3530251910548236e+03;3.8868030210568286e+01;4.9708021886415835e+01;5.4965781691571351e+01;-6.6431284317717569e+00
1.9753324488502876e+03;3.2712887944999899e+01;4.9672036533624656e+01;5.5862683320201249e+01;-5.9805520107188102e+00
8.4058426029817713e+02;4.1181567784672090e+01;4.9343502456498918e+01;5.5623069164355627e+01;-7.6775036820328211e+00
1.4990352834869902e+03;2.4879523072679707e+01;4.9807838412036482e+01;5.5194715235912696e+01;-5.7273369057859611e+00
1.6287990555061158e+03;3.8017156864939388e+01;5.0399013670408124e+01;5.5624378158350012e+01;-5.6625243074107345e+00
8.5520534635532556e+02;3.4450501276546603e+01;5.0984186551597297e+01;5.4533482474118102e+01;-5.5420254568014471e+00
2.3526224422298947e+03;4.5448970687333954e+01;4.9976122654927067e+01;5.4404903486832630e+01;-5.6534279025211376e+00
1.6100401543300454e+03;2.4740886640237949e+01;5.0727449994584319e+01;5.5331282905365732e+01;-4.5176679849102896e+00
6.4044074177679204e+02;2.2011538125989915e+01;5.0745176244841581e+01;5.4893626993228850e+01;-5.6830152896691146e+00
1.0057898169225601e+03;3.3063415017482576e+01;4.9596539587070360e+01;5.4927533212773149e+01;-6.9298041594320239e+00
1.0206624615970509e+03;2.9630292466119020e+01;5.0443989896668953e+01;5.5634174301308100e+01;-5.9123736466359986e+00
1.4536831441814020e+03;3.7305439688281254e+01;4.9019656998215474e+01;5.4142191442118758e+01;-7.1629945755102753e+00
2.2795230753015358e+03;3.7370746948449060e+01;5.0613047468930787e+01;5.4868741953628415e+01;-4.6813147764179419e+00
7.5080179876008538e+02;3.4214916326038676e+01;4.9314602763901995e+01;5.5232941120193615e+01;-7.6130654121317534e+00
5.2162211257193428e+02;2.9768163104017546e+01;4.9362043228652041e+01;5.4553407450389400e+01;-7.7090754047296173e+00
1.6530963095400114e+03;3.3066752538026805e+01;5.0025353650103128e+01;5.5855581173678921e+01;-5.8860963144017759e+00
2.4355261123055789e+03;3.3582912614262000e+01;4.9042760012092643e+01;5.4265103023778536e+01;-6.1126468924179562e+00
9.9510566049660440e+02;1.3769116149872549e+01;4.9790727289550730e+01;5.4220142011767379e+01;-5.2026242930598983e+00
1.6711900562184051e+03;3.5495053723142583e+01;4.9375911487822137e+01;5.5920557632318378e+01;-6.7121446219659120e+00
